loaddate,uniqueid,workorder,length,width,color,description
1/18/2024,10264753,25512169,191.875,18,TW ,1600X18 25P RR PAN TW F       
1/18/2024,10264752,25512169,191.875,18,TW ,1600X18 25P RR PAN TW F       
1/18/2024,10264766,25512274,95.875,21,TW ,0800X21 25P RR PAN TW SL      
1/18/2024,10264765,25512274,95.875,21,TW ,0800X21 25P RR PAN TW SL      
1/18/2024,10264764,25512274,95.875,21,TW ,0800X21 25P RR PAN TW SL      
1/18/2024,10264763,25512274,95.875,21,TW ,0800X21 25P RR PAN TW SL      
1/18/2024,10264757,25512274,95.875,21,TW ,0800X21 25P RR PAN TW SL      
1/18/2024,10264756,25512274,95.875,21,TW ,0800X21 25P RR PAN TW SL      
1/18/2024,10264755,25512274,95.875,21,TW ,0800X21 25P RR PAN TW SL      
1/18/2024,10264762,25512274,95.875,21,TW ,0800X21 25P RR PAN TW SL      
1/18/2024,10264761,25512274,95.875,21,TW ,0800X21 25P RR PAN TW SL      
1/18/2024,10264760,25512274,95.875,21,TW ,0800X21 25P RR PAN TW SL      
1/18/2024,10264759,25512274,95.875,21,TW ,0800X21 25P RR PAN TW SL      
1/18/2024,10264758,25512274,95.875,21,TW ,0800X21 25P RR PAN TW SL      
1/18/2024,10264776,25512278,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10264775,25512278,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10264774,25512278,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10264773,25512278,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10264772,25512278,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10264771,25512278,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10264770,25512278,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10264769,25512278,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10264768,25512278,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10264767,25512278,107.875,21,TW ,0900X21 25P RR PAN TW SL      
1/18/2024,10264781,25512282,119.875,21,TW ,1000X21 25P RR PAN TW SL      
